"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24298","Switchcaseselectcheckbox","chromium","2026-02-23","passed","2026-02-23","","class3locator.spec.ts","",""
"","25968","autoscrollingintable","chromium","2026-02-23","passed","2026-02-23","","autoscrolling.spec.ts","",""
"","30211","Student Registration Form - Radio and Checkbox","chromium","2026-02-23","broken","2026-02-23","","pwactions_lab.spec.ts","",""
"","4775","mukeshbooks","chromium","2026-02-23","passed","2026-02-23","","codecheck.spec.ts","",""
"","9679","select specific date from datepicker","chromium","2026-02-23","passed","2026-02-23","","copilotdatepicker.spec.ts","",""
"","11933","putting condition to select date","chromium","2026-02-23","passed","2026-02-23","","Datepickerjquery.spec.ts","",""
"","3390","specific row search","chromium","2026-02-23","passed","2026-02-23","","paginationtable.spec.ts","",""
"","29767","Bootsrtap hidden dropdown","chromium","2026-02-23","passed","2026-02-23","","orangedropdown.spec.ts","",""
"","12683","switchcasecheckboxselection","chromium","2026-02-23","passed","2026-02-23","","Locatorpractise1.spec.ts","",""
"","4704","totalbookprice","chromium","2026-02-23","passed","2026-02-23","","Statictable.spec.ts","",""
"","19039","inner/child frames demo","chromium","2026-02-23","passed","2026-02-23","","frames.spec.ts","",""
"","13641","selectallCheckboxaction","chromium","2026-02-23","passed","2026-02-23","","mylocator.spec.ts","",""
"","3361","locatorarray","chromium","2026-02-23","passed","2026-02-23","","textconcept.spec.ts","",""
"","31670","Drag and drop","chromium","2026-02-23","broken","2026-02-23","","mouseactions.spec.ts","",""
